Constituency ID,State ID,State,Parliament Constituency,Constituency Name (short),Const No,Constituency Name (long),Status,Winning Candidate,Winning Party,Winning Party ID,Winner Votes,Winner Vote Share,RunnerUp Candidate,RunnerUp Party,RunnerUp Votes,Margin,Total Votes Polled,Num Candidates,Country
U031,U03,Dadra & Nagar Haveli and Daman & Diu,DAMAN&DIU(1),Daman & Diu,1,DAMAN&DIU,Result Declared,PATEL UMESHBHAI BABUBHAI,Independent - IND,743,42523,0.460155827,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,36298,6225,92410,8,India
S2537,S25,West Bengal,BISHNUPUR(37),Bishnupur,37,BISHNUPUR,Result Declared,KHAN SAUMITRA,Bharatiya Janata Party - BJP,369,680130,0.449265195,SUJATA MONDAL,All India Trinamool Congress,674563,5567,1513872,8,India
S2911,S29,Telangana,MAHBUBNAGAR(11),Mahbubnagar,11,MAHBUBNAGAR,Result Declared,ARUNA. D. K,Bharatiya Janata Party - BJP,369,510747,0.416569745,CHALLA VAMSHI CHAND REDDY,Indian National Congress,506247,4500,1226078,32,India
S2429,S24,Uttar Pradesh,DHAURAHRA(29),Dhaurahra,29,DHAURAHRA,Result Declared,ANAND BHADAURIYA,Samajwadi Party - SP,1680,443743,0.399104373,REKHA VERMA,Bharatiya Janata Party,439294,4449,1111847,13,India
S2234,S22,Tamil Nadu,VIRUDHUNAGAR(34),VIRUDHUNAGAR,34,VIRUDHUNAGAR,Result Declared,MANICKAM TAGORE B,Indian National Congress - INC,742,385256,0.362798415,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,380877,4379,1061901,28,India
S2451,S24,Uttar Pradesh,PHULPUR(51),Phulpur,51,PHULPUR,Result Declared,PRAVEEN PATEL,Bharatiya Janata Party - BJP,369,452600,0.445988664,AMAR NATH SINGH MAURYA,Samajwadi Party,448268,4332,1014824,16,India
S132,S13,Maharashtra,DHULE(2),Dhule,2,DHULE,Result Declared,BACHHAV SHOBHA DINESH,Indian National Congress - INC,742,583866,0.478855404,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,580035,3831,1219295,19,India
S2471,S24,Uttar Pradesh,SALEMPUR(71),Salempur,71,SALEMPUR,Result Declared,RAMASHANKAR RAJBHAR,Samajwadi Party - SP,1680,405472,0.441997815,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,401899,3573,917362,10,India
S1910,S19,Punjab,FIROZPUR(10),Firozpur,10,FIROZPUR,Result Declared,SHER SINGH GHUBAYA,Indian National Congress - INC,742,266626,0.236976665,JAGDEEP SINGH KAKA BRAR,Aam Aadmi Party,263384,3242,1125115,30,India
S2467,S24,Uttar Pradesh,BANSGAON(67),Bansgaon,67,BANSGAON,Result Declared,KAMLESH PASWAN,Bharatiya Janata Party - BJP,369,428693,0.453757186,SADAL PRASAD,Indian National Congress,425543,3150,944763,9,India
S2440,S24,Uttar Pradesh,FARRUKHABAD(40),Farrukhabad,40,FARRUKHABAD,Result Declared,MUKESH RAJPUT,Bharatiya Janata Party - BJP,369,487963,0.472011832,DR. NAVAL KISHOR SHAKYA,Samajwadi Party,485285,2678,1033794,9,India
U061,U06,Lakshadweep,LAKSHADWEEP(1),Lakshadweep,1,LAKSHADWEEP,Result Declared,MUHAMMED HAMDULLAH SAYEED,Indian National Congress - INC,742,25726,0.522886179,MOHAMMED FAIZAL PP,Nationalist Congress Party – Sharadchandra Pawar,23079,2647,49200,5,India
S2447,S24,Uttar Pradesh,HAMIRPUR(47),Hamirpur,47,HAMIRPUR,Result Declared,AJENDRA SINGH LODHI,Samajwadi Party - SP,1680,490683,0.43995646,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,488054,2629,1115299,12,India
U021,U02,Chandigarh,CHANDIGARH(1),Chandigarh,1,CHANDIGARH,Result Declared,MANISH TEWARI,Indian National Congress - INC,742,216657,0.482236937,SANJAY TANDON,Bharatiya Janata Party,214153,2504,449275,20,India
S2611,S26,Chhattisgarh,KANKER(11),KANKER,11,KANKER,Result Declared,BHOJRAJ NAG,Bharatiya Janata Party - BJP,369,597624,0.472269878,BIRESH THAKUR,Indian National Congress,595740,1884,1265429,10,India
S206,S20,Rajasthan,JAIPURRURAL(6),JAIPUR RURAL,6,JAIPURRURAL,Result Declared,RAO RAJENDRA SINGH,Bharatiya Janata Party - BJP,369,617877,0.489580478,ANIL CHOPRA,Indian National Congress,616262,1615,1262054,16,India
S188,S18,Odisha,JAJPUR(8),Jajpur,8,JAJPUR,Result Declared,RABINDRA NARAYAN BEHERA,Bharatiya Janata Party - BJP,369,534239,0.460071753,SARMISTHA SETHI,Biju Janata Dal,532652,1587,1161208,14,India
S1119,S11,Kerala,ATTINGAL(19),Attingal,19,ATTINGAL,Result Declared,ADV ADOOR PRAKASH,Indian National Congress - INC,742,328051,0.332931442,V JOY,Communist Party of India  (Marxist),327367,684,985341,8,India
S1327,S13,Maharashtra,MUMBAINORTHWEST(27),Mumbai North West,27,MUMBAINORTHWEST,Result Declared,RAVINDRA DATTARAM WAIKAR,Shiv Sena - SHS,3529,452644,0.474003052,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),452596,48,954939,22,India
