Constituency ID,State ID,State,Parliament Constituency,Constituency Name (short),Const No,Constituency Name (long),Status,Winning Candidate,Winning Party,Winning Party ID,Winner Votes,Winner Vote Share,RunnerUp Candidate,RunnerUp Party,RunnerUp Votes,Margin,Total Votes Polled,Num Candidates,Country
S1012,S10,Karnataka,UTTARAKANNADA(12),Uttara Kannada,12,UTTARAKANNADA,Result Declared,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party - BJP,369,782495,0.619669914,DR. ANJALI NIMBALKAR,Indian National Congress,445067,337428,1262761,14,India
S2412,S24,Uttar Pradesh,GHAZIABAD(12),Ghaziabad,12,GHAZIABAD,Result Declared,ATUL GARG,Bharatiya Janata Party - BJP,369,854170,0.580898105,DOLLY SHARMA,Indian National Congress,517205,336965,1470430,15,India
S284,S28,Uttarakhand,NAINITAL-UDHAMSINGHNAGAR(4),Nainital-Udhamsingh Nagar,4,NAINITAL-UDHAMSINGHNAGAR,Result Declared,AJAY BHATT,Bharatiya Janata Party - BJP,369,772671,0.610316931,PRAKASH JOSHI,Indian National Congress,438123,334548,1266016,11,India
S0619,S06,Gujarat,DAHOD(19),Dahod,19,DAHOD,Result Declared,JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party - BJP,369,688715,0.615862197,DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,355038,333677,1118294,10,India
S2518,S25,West Bengal,BASIRHAT(18),Basirhat,18,BASIRHAT,Result Declared,SK NURUL ISLAM,All India Trinamool Congress - AITC,140,803762,0.527610262,REKHA PATRA,Bharatiya Janata Party,470215,333547,1523401,16,India
S207,S20,Rajasthan,JAIPUR(7),JAIPUR,7,JAIPUR,Result Declared,MANJU SHARMA,Bharatiya Janata Party - BJP,369,886850,0.606079037,PRATAP SINGH KHACHARIYAWAS,Indian National Congress,555083,331767,1463258,14,India
S277,S27,Jharkhand,DHANBAD(7),Dhanbad,7,DHANBAD,Result Declared,DULU MAHATO,Bharatiya Janata Party - BJP,369,789172,0.552638748,ANUPAMA SINGH,Indian National Congress,457589,331583,1428007,26,India
S2013,S20,Rajasthan,AJMER(13),AJMER,13,AJMER,Result Declared,BHAGIRATH CHOUDHARY,Bharatiya Janata Party - BJP,369,747462,0.622273616,RAMCHANDRA CHOUDHARY,Indian National Congress,417471,329991,1201179,15,India
S1340,S13,Maharashtra,OSMANABAD(40),Osmanabad,40,OSMANABAD,Result Declared,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,3369,748752,0.584482129,ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,418906,329846,1281052,32,India
S034,S03,Assam,DARRANG-UDALGURI(4),Darrang-Udalguri,4,DARRANG-UDALGURI,Result Declared,DILIP SAIKIA,Bharatiya Janata Party - BJP,369,868387,0.479453953,MADHAB RAJBANGSHI,Indian National Congress,539375,329012,1811200,12,India
S064,S06,Gujarat,MAHESANA(4),Mahesana,4,MAHESANA,Result Declared,HARIBHAI PATEL,Bharatiya Janata Party - BJP,369,686406,0.637433868,RAMJI THAKOR,Indian National Congress,358360,328046,1076827,7,India
S012,S01,Andhra Pradesh,SRIKAKULAM(2),Srikakulam,2,SRIKAKULAM,Result Declared,KINJARAPU RAMMOHAN NAIDU,Telugu Desam - TDP,1745,754328,0.610452817,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,426427,327901,1235686,14,India
S2541,S25,West Bengal,BOLPUR(41),Bolpur,41,BOLPUR,Result Declared,ASIT KUMAR MAL,All India Trinamool Congress - AITC,140,855633,0.559797052,PIYA SAHA,Bharatiya Janata Party,528380,327253,1528470,9,India
S0614,S06,Gujarat,AMRELI(14),Amreli,14,AMRELI,Result Declared,BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party - BJP,369,580872,0.662773583,JENNY THUMMAR,Indian National Congress,259804,321068,876426,9,India
S2230,S22,Tamil Nadu,THANJAVUR(30),THANJAVUR,30,THANJAVUR,Result Declared,MURASOLI S,Dravida Munnetra Kazhagam - DMK,582,502245,0.488229873,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,182662,319583,1028706,13,India
S2224,S22,Tamil Nadu,TIRUCHIRAPPALLI(24),TIRUCHIRAPPALLI,24,TIRUCHIRAPPALLI,Result Declared,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam - MDMK,1046,542213,0.513476785,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,229119,313094,1055964,36,India
S227,S22,Tamil Nadu,ARAKKONAM(7),ARAKKONAM,7,ARAKKONAM,Result Declared,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam - DMK,582,563216,0.483936547,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,256657,306559,1163822,27,India
S116,S11,Kerala,MALAPPURAM(6),Malappuram,6,MALAPPURAM,Result Declared,E.T.  MOHAMMED BASHEER,Indian Union Muslim League - IUML,772,644006,0.59345437,V. VASEEF,Communist Party of India  (Marxist),343888,300118,1085182,9,India
S015,S01,Andhra Pradesh,ANAKAPALLE(5),Anakapalle,5,ANAKAPALLE,Result Declared,C.M.RAMESH,Bharatiya Janata Party - BJP,369,762069,0.575002339,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,465539,296530,1325332,16,India
S2417,S24,Uttar Pradesh,MATHURA(17),Mathura,17,MATHURA,Result Declared,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party - BJP,369,510064,0.532956619,MUKESH DHANGAR,Indian National Congress,216657,293407,957046,16,India
U055,U05,Delhi,NORTH-WESTDELHI(5),North-West Delhi,5,NORTH-WESTDELHI,Result Declared,YOGENDER CHANDOLIYA,Bharatiya Janata Party - BJP,369,866483,0.582624342,UDIT RAJ,Indian National Congress,575634,290849,1487207,27,India
S2713,S27,Jharkhand,PALAMAU(13),Palamau,13,PALAMAU,Result Declared,VISHNU DAYAL RAM,Bharatiya Janata Party - BJP,369,770362,0.553923169,MAMTA BHUIYAN,Rashtriya Janata Dal,481555,288807,1390738,10,India
S068,S06,Gujarat,AHMEDABADWEST(8),Ahmedabad West,8,AHMEDABADWEST,Result Declared,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party - BJP,369,611704,0.63281077,BHARAT YOGENDRA MAKWANA,Indian National Congress,325267,286437,966646,7,India
S1020,S10,Karnataka,MANDYA(20),Mandya,20,MANDYA,Result Declared,H.D. KUMARASWAMY,Janata Dal  (Secular) - JD(S),804,851881,0.583373452,VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,567261,284620,1460267,15,India
S0112,S01,Andhra Pradesh,VIJAYAWADA(12),Vijayawada,12,VIJAYAWADA,Result Declared,KESINENI SIVANATH (CHINNI),Telugu Desam - TDP,1745,794154,0.582051517,KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party,512069,282085,1364405,18,India
U083,U08,Jammu and Kashmir,ANANTNAG-RAJOURI(3),ANANTNAG-RAJOURI,3,ANANTNAG-RAJOURI,Result Declared,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference - JKN,834,521836,0.508538729,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,240042,281794,1026148,21,India
S0313,S03,Assam,DIBRUGARH(13),Dibrugarh,13,DIBRUGARH,Result Declared,SARBANANDA SONOWAL,Bharatiya Janata Party - BJP,369,693762,0.542713025,LURINJYOTI GOGOI,Assam Jatiya Parishad,414441,279321,1278322,4,India
S2233,S22,Tamil Nadu,THENI(33),THENI,33,THENI,Result Declared,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam - DMK,582,571493,0.500774172,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,292668,278825,1141219,26,India
S1026,S10,Karnataka,BANGALORESOUTH(26),Bangalore South,26,BANGALORESOUTH,Result Declared,TEJASVI SURYA,Bharatiya Janata Party - BJP,369,750830,0.600980356,SOWMYA REDDY,Indian National Congress,473747,277083,1249342,23,India
S019,S01,Andhra Pradesh,NARSAPURAM(9),Narsapuram,9,NARSAPURAM,Result Declared,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party - BJP,369,707343,0.574611249,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,430541,276802,1230994,22,India
S2714,S27,Jharkhand,HAZARIBAGH(14),Hazaribagh,14,HAZARIBAGH,Result Declared,MANISH JAISWAL,Bharatiya Janata Party - BJP,369,654613,0.51761689,JAI PRAKASH BHAI PATEL,Indian National Congress,377927,276686,1264667,18,India
S2414,S24,Uttar Pradesh,BULANDSHAHR(14),Bulandshahr,14,BULANDSHAHR,Result Declared,DR BHOLA SINGH,Bharatiya Janata Party - BJP,369,597310,0.566493329,SHIVRAM,Indian National Congress,322176,275134,1054399,7,India
S281,S28,Uttarakhand,TEHRIGARHWAL(1),Tehri Garhwal,1,TEHRIGARHWAL,Result Declared,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party - BJP,369,462603,0.536636889,JOT SINGH GUNSOLA,Indian National Congress,190110,272493,862041,12,India
S134,S13,Maharashtra,RAVER(4),Raver,4,RAVER,Result Declared,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party - BJP,369,630879,0.53844611,SHRIRAM DAYARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar,358696,272183,1171666,25,India
S2418,S24,Uttar Pradesh,AGRA(18),Agra,18,AGRA,Result Declared,PROF S P SINGH BAGHEL,Bharatiya Janata Party - BJP,369,599397,0.533376224,SURESH CHAND KARDAM,Samajwadi Party,328103,271294,1123779,12,India
S2228,S22,Tamil Nadu,MAYILADUTHURAI(28),MAYILADUTHURAI,28,MAYILADUTHURAI,Result Declared,SUDHA R,Indian National Congress - INC,742,518459,0.476652741,BABU P,All India Anna Dravida Munnetra Kazhagam,247276,271183,1087708,18,India
S1228,S12,Madhya Pradesh,KHANDWA(28),KHANDWA,28,KHANDWA,Result Declared,GYANESHWAR PATIL,Bharatiya Janata Party - BJP,369,862679,0.570350443,NARENDRA PATEL,Indian National Congress,592708,269971,1512542,12,India
S1023,S10,Karnataka,BANGALORERURAL(23),Bangalore Rural,23,BANGALORERURAL,Result Declared,DR C N MANJUNATH,Bharatiya Janata Party - BJP,369,1079002,0.562114882,D K SURESH,Indian National Congress,809355,269647,1919540,16,India
S061,S06,Gujarat,KACHCHH(1),Kachchh,1,KACHCHH,Result Declared,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party - BJP,369,659574,0.602264333,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,390792,268782,1095157,12,India
S073,S07,Haryana,SIRSA(3),SIRSA,3,SIRSA,Result Declared,SELJA,Indian National Congress - INC,742,733823,0.541713912,ASHOK TANWAR,Bharatiya Janata Party,465326,268497,1354632,20,India
S038,S03,Assam,SILCHAR(8),Silchar,8,SILCHAR,Result Declared,PARIMAL SUKLABAIDYA,Bharatiya Janata Party - BJP,369,652405,0.598852056,SURYA KANTA SARKAR,Indian National Congress,388094,264311,1089426,9,India
S069,S06,Gujarat,SURENDRANAGAR(9),Surendranagar,9,SURENDRANAGAR,Result Declared,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party - BJP,369,669749,0.591976857,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,408132,261617,1131377,15,India
S2019,S20,Rajasthan,UDAIPUR(19),UDAIPUR,19,UDAIPUR,Result Declared,MANNA LAL RAWAT,Bharatiya Janata Party - BJP,369,738286,0.492724123,TARACHAND MEENA,Indian National Congress,476678,261608,1498376,9,India
S1313,S13,Maharashtra,CHANDRAPUR(13),Chandrapur,13,CHANDRAPUR,Result Declared,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress - INC,742,718410,0.578754278,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,458004,260406,1241304,16,India
S279,S27,Jharkhand,JAMSHEDPUR(9),Jamshedpur,9,JAMSHEDPUR,Result Declared,BIDYUT BARAN MAHATO,Bharatiya Janata Party - BJP,369,726174,0.568376266,SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,466392,259782,1277629,26,India
S1024,S10,Karnataka,BANGALORENORTH(24),Bangalore North,24,BANGALORENORTH,Result Declared,SHOBHA KARANDLAJE,Bharatiya Janata Party - BJP,369,986049,0.562651498,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,726573,259476,1752504,22,India
S1015,S10,Karnataka,UDUPICHIKMAGALUR(15),Udupi Chikmagalur,15,UDUPICHIKMAGALUR,Result Declared,KOTA SRINIVAS POOJARY,Bharatiya Janata Party - BJP,369,732234,0.595594013,K. JAYAPRAKASH HEGDE,Indian National Congress,473059,259175,1229418,11,India
S2522,S25,West Bengal,JADAVPUR(22),Jadavpur,22,JADAVPUR,Result Declared,SAYANI GHOSH,All India Trinamool Congress - AITC,140,717899,0.458279525,DR. ANIRBAN GANGULY,Bharatiya Janata Party,459698,258201,1566509,17,India
S2221,S22,Tamil Nadu,POLLACHI(21),POLLACHI,21,POLLACHI,Result Declared,ESWARASAMY K,Dravida Munnetra Kazhagam - DMK,582,533377,0.473672899,KARTHIKEYAN A,All India Anna Dravida Munnetra Kazhagam,281335,252042,1126045,16,India
S081,S08,Himachal Pradesh,KANGRA(1),KANGRA,1,KANGRA,Result Declared,DR RAJEEV BHARDWAJ,Bharatiya Janata Party - BJP,369,632793,0.610292728,ANAND SHARMA,Indian National Congress,380898,251895,1036868,11,India
S181,S18,Odisha,BARGARH(1),Bargarh,1,BARGARH,Result Declared,PRADEEP PUROHIT,Bharatiya Janata Party - BJP,369,716359,0.546895708,PARINITA MISHRA,Biju Janata Dal,464692,251667,1309864,8,India
S133,S13,Maharashtra,JALGAON(3),Jalgaon,3,JALGAON,Result Declared,SMITA UDAY WAGH,Bharatiya Janata Party - BJP,369,674428,0.5766545,KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),422834,251594,1169553,15,India
S035,S03,Assam,GUWAHATI(5),Guwahati,5,GUWAHATI,Result Declared,BIJULI KALITA MEDHI,Bharatiya Janata Party - BJP,369,894887,0.559518041,MIRA BORTHAKUR GOSWAMI,Indian National Congress,643797,251090,1599389,9,India
S1112,S11,Kerala,ERNAKULAM(12),Ernakulam,12,ERNAKULAM,Result Declared,HIBI EDEN,Indian National Congress - INC,742,482317,0.529726459,K. J. SHINE TEACHER,Communist Party of India  (Marxist),231932,250385,910502,11,India
S013,S01,Andhra Pradesh,VIZIANAGARAM(3),Vizianagaram,3,VIZIANAGARAM,Result Declared,APPALANAIDU KALISETTI,Telugu Desam - TDP,1745,743113,0.571958881,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,493762,249351,1299242,16,India
S0310,S03,Assam,KAZIRANGA(10),Kaziranga,10,KAZIRANGA,Result Declared,KAMAKHYA PRASAD TASA,Bharatiya Janata Party - BJP,369,897043,0.5503544,ROSELINA TIRKEY,Indian National Congress,648096,248947,1629937,12,India
S2416,S24,Uttar Pradesh,HATHRAS(16),Hathras,16,HATHRAS,Result Declared,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party - BJP,369,554746,0.512363307,JASVEER VALMIKI,Samajwadi Party,307428,247318,1082720,11,India
S2020,S20,Rajasthan,BANSWARA(20),BANSWARA,20,BANSWARA,Result Declared,RAJ KUMAR ROAT,Bharat Adivasi Party - BHRTADVSIP,3482,820831,0.501469284,MAHENDRAJEETSINGH MALVIYA,Bharatiya Janata Party,573777,247054,1636852,9,India
S0122,S01,Andhra Pradesh,NELLORE(22),Nellore,22,NELLORE,Result Declared,PRABHAKAR REDDY VEMIREDDY,Telugu Desam - TDP,1745,766202,0.556974926,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,520300,245902,1375649,15,India
S2015,S20,Rajasthan,PALI(15),PALI,15,PALI,Result Declared,P. P. CHAUDHARY,Bharatiya Janata Party - BJP,369,757389,0.559436773,SANGEETA BENIWAL,Indian National Congress,512038,245351,1353842,14,India
S224,S22,Tamil Nadu,CHENNAICENTRAL(4),CHENNAI CENTRAL,4,CHENNAICENTRAL,Result Declared,DAYANIDHI MARAN,Dravida Munnetra Kazhagam - DMK,582,413848,0.566489038,VINOJ,Bharatiya Janata Party,169159,244689,730549,32,India
S1014,S10,Karnataka,SHIMOGA(14),Shimoga,14,SHIMOGA,Result Declared,B.Y.RAGHAVENDRA,Bharatiya Janata Party - BJP,369,778721,0.565427991,GEETHA SHIVARAJKUMAR,Indian National Congress,535006,243715,1377224,24,India
S2219,S22,Tamil Nadu,NILGIRIS(19),NILGIRIS,19,NILGIRIS,Result Declared,RAJA A,Dravida Munnetra Kazhagam - DMK,582,473212,0.464431459,DR MURUGAN L,Bharatiya Janata Party,232627,240585,1018906,17,India
S262,S26,Chhattisgarh,RAIGARH(2),RAIGARH,2,RAIGARH,Result Declared,RADHESHYAM RATHIYA,Bharatiya Janata Party - BJP,369,808275,0.55629351,DR. MENKA DEVI SINGH,Indian National Congress,567884,240391,1452965,14,India
S018,S01,Andhra Pradesh,RAJAHMUNDRY(8),Rajahmundry,8,RAJAHMUNDRY,Result Declared,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party - BJP,369,726515,0.54819033,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,487376,239139,1325297,13,India
S0612,S06,Gujarat,JAMNAGAR(12),Jamnagar,12,JAMNAGAR,Result Declared,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party - BJP,369,620049,0.589829106,ADVOCATE J. P. MARAVIYA,Indian National Congress,382041,238008,1051235,15,India
S2011,S20,Rajasthan,DAUSA(11),DAUSA,11,DAUSA,Result Declared,MURARI LAL MEENA,Indian National Congress - INC,742,646266,0.602447578,KANHAIYA LAL MEENA,Bharatiya Janata Party,408926,237340,1072734,6,India
S2217,S22,Tamil Nadu,ERODE(17),ERODE,17,ERODE,Result Declared,K E PRAKASH,Dravida Munnetra Kazhagam - DMK,582,562339,0.514292273,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,325773,236566,1093423,32,India
S117,S11,Kerala,PONNANI(7),Ponnani,7,PONNANI,Result Declared,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League - IUML,772,562516,0.548103081,K.S HAMZA,Communist Party of India  (Marxist),326756,235760,1026296,9,India
S0415,S04,Bihar,MUZAFFARPUR(15),Muzaffarpur,15,MUZAFFARPUR,Result Declared,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party - BJP,369,619749,0.557097783,AJAY NISHAD,Indian National Congress,384822,234927,1112460,27,India
S283,S28,Uttarakhand,ALMORA(3),Almora,3,ALMORA,Result Declared,AJAY TAMTA,Bharatiya Janata Party - BJP,369,429167,0.641987922,PRADEEP TAMTA,Indian National Congress,195070,234097,668497,8,India
S2211,S22,Tamil Nadu,TIRUVANNAMALAI(11),TIRUVANNAMALAI,11,TIRUVANNAMALAI,Result Declared,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam - DMK,582,547379,0.477529349,KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,313448,233931,1146273,32,India
S075,S07,Haryana,KARNAL(5),KARNAL,5,KARNAL,Result Declared,MANOHAR LAL,Bharatiya Janata Party - BJP,369,739285,0.549289988,DIVYANSHU BUDHIRAJA,Indian National Congress,506708,232577,1345892,20,India
S0623,S06,Gujarat,BARDOLI(23),Bardoli,23,BARDOLI,Result Declared,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party - BJP,369,763950,0.570395861,CHAUDHARY SIDDHARTH AMARSINH,Indian National Congress,533697,230253,1339333,4,India
S016,S01,Andhra Pradesh,KAKINADA(6),Kakinada,6,KAKINADA,Result Declared,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party - JnP,860,729699,0.548727142,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,500208,229491,1329803,16,India
S223,S22,Tamil Nadu,CHENNAISOUTH(3),CHENNAI SOUTH,3,CHENNAISOUTH,Result Declared,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam - DMK,582,516628,0.469951907,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,290683,225945,1099321,42,India
S293,S29,Telangana,KARIMNAGAR(3),Karimnagar,3,KARIMNAGAR,Result Declared,BANDI SANJAY KUMAR,Bharatiya Janata Party - BJP,369,585116,0.445683139,VELCHALA RAJENDER RAO,Indian National Congress,359907,225209,1312852,29,India
S0111,S01,Andhra Pradesh,MACHILIPATNAM(11),Machilipatnam,11,MACHILIPATNAM,Result Declared,BALASHOWRY VALLABHANENI,Janasena Party - JnP,860,724439,0.552162189,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,501260,223179,1312004,16,India
S033,S03,Assam,BARPETA(3),Barpeta,3,BARPETA,Result Declared,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad - AGP,83,860113,0.510167307,DEEP BAYAN,Indian National Congress,637762,222351,1685943,15,India
S2914,S29,Telangana,BHONGIR(14),Bhongir,14,BHONGIR,Result Declared,CHAMALA KIRAN KUMAR REDDY,Indian National Congress - INC,742,629143,0.4489402,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,406973,222170,1401396,40,India
S2421,S24,Uttar Pradesh,MAINPURI(21),Mainpuri,21,MAINPURI,Result Declared,DIMPLE YADAV,Samajwadi Party - SP,1680,598526,0.567855554,JAYVEER SINGH,Bharatiya Janata Party,376887,221639,1054011,9,India
S226,S22,Tamil Nadu,KANCHEEPURAM(6),KANCHEEPURAM,6,KANCHEEPURAM,Result Declared,SELVAM. G,Dravida Munnetra Kazhagam - DMK,582,586044,0.465270114,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,364571,221473,1259578,12,India
S274,S27,Jharkhand,CHATRA(4),Chatra,4,CHATRA,Result Declared,KALI CHARAN SINGH,Bharatiya Janata Party - BJP,369,574556,0.528874955,KRISHNA NAND TRIPATHI,Indian National Congress,353597,220959,1086374,23,India
S0125,S01,Andhra Pradesh,CHITTOOR(SC)(25),Chittoor(SC),25,CHITTOOR(SC),Result Declared,DAGGUMALLA PRASADA RAO,Telugu Desam - TDP,1745,778071,0.54837873,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,557592,220479,1418857,20,India
S2915,S29,Telangana,WARANGAL(15),Warangal,15,WARANGAL,Result Declared,KADIYAM KAVYA,Indian National Congress - INC,742,581294,0.458453278,AROORI RAMESH,Bharatiya Janata Party,360955,220339,1267946,43,India
S185,S18,Odisha,MAYURBHANJ(5),Mayurbhanj,5,MAYURBHANJ,Result Declared,NABA CHARAN MAJHI,Bharatiya Janata Party - BJP,369,585971,0.499102253,SUDAM MARNDI,Biju Janata Dal,366637,219334,1174050,14,India
S2526,S25,West Bengal,ULUBERIA(26),Uluberia,26,ULUBERIA,Result Declared,SAJDA AHMED,All India Trinamool Congress - AITC,140,724622,0.521013177,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,505949,218673,1390794,13,India
S1225,S12,Madhya Pradesh,DHAR(25),DHAR,25,DHAR,Result Declared,SAVITRI THAKUR,Bharatiya Janata Party - BJP,369,794449,0.557490856,RADHESHYAM MUVEL,Indian National Congress,575784,218665,1425044,8,India
S1325,S13,Maharashtra,THANE(25),Thane,25,THANE,Result Declared,NARESH GANPAT MHASKE,Shiv Sena - SHS,3529,734231,0.560880718,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),517220,217011,1309068,25,India
S2453,S24,Uttar Pradesh,BARABANKI(53),Barabanki,53,BARABANKI,Result Declared,TANUJ PUNIA,Indian National Congress - INC,742,719927,0.557808798,RAJRANI RAWAT,Bharatiya Janata Party,504223,215704,1290634,14,India
S228,S22,Tamil Nadu,VELLORE(8),VELLORE,8,VELLORE,Result Declared,DM KATHIR ANAND,Dravida Munnetra Kazhagam - DMK,582,568692,0.503508763,AC SHANMUGAM,Bharatiya Janata Party,352990,215702,1129458,32,India
S039,S03,Assam,NAGAON(9),Nagaon,9,NAGAON,Result Declared,PRADYUT BORDOLOI,Indian National Congress - INC,742,788850,0.508936141,SURESH BORAH,Bharatiya Janata Party,576619,212231,1549998,14,India
S0626,S06,Gujarat,VALSAD(26),Valsad,26,VALSAD,Result Declared,DHAVAL LAXMANBHAI PATEL,Bharatiya Janata Party - BJP,369,764226,0.561348483,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,553522,210704,1361411,8,India
S2232,S22,Tamil Nadu,MADURAI(32),MADURAI,32,MADURAI,Result Declared,VENKATESAN S,Communist Party of India  (Marxist) - CPI(M),547,430323,0.436004576,RAAMA SREENIVASAN,Bharatiya Janata Party,220914,209409,986969,22,India
S1324,S13,Maharashtra,KALYAN(24),Kalyan,24,KALYAN,Result Declared,DR SHRIKANT EKNATH SHINDE,Shiv Sena - SHS,3529,589636,0.563847855,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),380492,209144,1045736,29,India
S2229,S22,Tamil Nadu,NAGAPATTINAM(29),NAGAPATTINAM,29,NAGAPATTINAM,Result Declared,SELVARAJ V,Communist Party of India - CPI,544,465044,0.477943209,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,256087,208957,973011,10,India
S2212,S22,Tamil Nadu,ARANI(12),ARANI,12,ARANI,Result Declared,THARANIVENTHAN M S,Dravida Munnetra Kazhagam - DMK,582,500099,0.438582921,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,291333,208766,1140261,30,India
S0115,S01,Andhra Pradesh,BAPATLA(SC)(15),Bapatla (SC),15,BAPATLA(SC),Result Declared,KRISHNA PRASAD TENNETI,Telugu Desam - TDP,1745,717493,0.551601582,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,509462,208031,1300745,16,India
S1224,S12,Madhya Pradesh,RATLAM(24),RATLAM,24,RATLAM,Result Declared,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party - BJP,369,795863,0.519274874,KANTILAL BHURIA,Indian National Congress,588631,207232,1532643,13,India
S1211,S12,Madhya Pradesh,SIDHI(11),SIDHI,11,SIDHI,Result Declared,DR. RAJESH MISHRA,Bharatiya Janata Party - BJP,369,583559,0.50865276,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,377143,206416,1147264,18,India
S2231,S22,Tamil Nadu,SIVAGANGA(31),SIVAGANGA,31,SIVAGANGA,Result Declared,KARTI P CHIDAMBARAM,Indian National Congress - INC,742,427677,0.40598945,XAVIERDASS A,All India Anna Dravida Munnetra Kazhagam,222013,205664,1053419,21,India
U081,U08,Jammu and Kashmir,BARAMULLA(1),BARAMULLA,1,BARAMULLA,Result Declared,ABDUL RASHID SHEIKH,Independent - IND,743,472481,0.456989071,OMAR ABDULLAH,Jammu & Kashmir National Conference,268339,204142,1033900,23,India
S2018,S20,Rajasthan,JALORE(18),JALORE,18,JALORE,Result Declared,LUMBARAM,Bharatiya Janata Party - BJP,369,796783,0.549079129,VAIBHAV GEHLOT,Indian National Congress,595240,201543,1451126,13,India
S0312,S03,Assam,LAKHIMPUR(12),Lakhimpur,12,LAKHIMPUR,Result Declared,PRADAN BARUAH,Bharatiya Janata Party - BJP,369,663122,0.547485415,UDAY SHANKAR HAZARIKA,Indian National Congress,461865,201257,1211214,10,India
S2520,S25,West Bengal,MATHURAPUR(20),Mathurapur,20,MATHURAPUR,Result Declared,BAPI HALDAR,All India Trinamool Congress - AITC,140,755731,0.505159677,ASHOK PURKAIT,Bharatiya Janata Party,554674,201057,1496024,13,India
